paperId,venue_key,title,year,url,embedding_alignment
12c1fe76d397aafdab67ac22dc453d057b0045a8,tpami,See-Through Vision With Unsupervised Scene Occlusion Reconstruction,2021,https://www.semanticscholar.org/paper/12c1fe76d397aafdab67ac22dc453d057b0045a8,0.37968403
d16234da0b4c920752ce5edd447c1b79b739c4d1,tpami,Affective Image Content Analysis: Two Decades Review and New Perspectives,2021,https://www.semanticscholar.org/paper/d16234da0b4c920752ce5edd447c1b79b739c4d1,0.41115245
09437face555fa8d375b6667624834e4795257d7,tpami,TV-3DG: Mastering Text-to-3D Customized Generation with Visual Prompt,2024,https://www.semanticscholar.org/paper/09437face555fa8d375b6667624834e4795257d7,0.281358
786d52d784fee00b234e872230569c81d6e9621c,tpami,CROification: Accurate Kernel Classification with the Efficiency of Sparse Linear SVM,2019,https://www.semanticscholar.org/paper/786d52d784fee00b234e872230569c81d6e9621c,0.40795845
8cfb50482bcadcc3b9f8a0ea32ef1f13eaa41f8c,tpami,Variational Hierarchical Mixtures for Probabilistic Learning of Inverse Dynamics,2022,https://www.semanticscholar.org/paper/8cfb50482bcadcc3b9f8a0ea32ef1f13eaa41f8c,0.21569616
176d9b627dbee0495db86d8e7b7961bba360845c,tpami,PatchMix Augmentation to Identify Causal Features in Few-Shot Learning,2022,https://www.semanticscholar.org/paper/176d9b627dbee0495db86d8e7b7961bba360845c,0.35630298
5975e3a1190079cceef74d11e690ee4827c8436c,tpami,"Learning Compressible 360<inline-formula><tex-math notation=""LaTeX"">$^{\circ }$</tex-math><alternatives><mml:math><mml:msup><mml:mrow/><mml:mo>∘</mml:mo></mml:msup></mml:math><inline-graphic xlink:href=""su-ieq1-2974472.gif""/></alternatives></inline-formula> Video Isomers",2020,https://www.semanticscholar.org/paper/5975e3a1190079cceef74d11e690ee4827c8436c,0.24585043
44bbcf83bd8d3c44eafaa5d9831c51e2ab692ea7,tpami,Late Fusion Incomplete Multi-View Clustering,2019,https://www.semanticscholar.org/paper/44bbcf83bd8d3c44eafaa5d9831c51e2ab692ea7,0.31769866
4040469ecc83ad6b16cefe62d8fbeb679c6d9fb0,tpami,Vertical Layering of Quantized Neural Networks for Heterogeneous Inference,2022,https://www.semanticscholar.org/paper/4040469ecc83ad6b16cefe62d8fbeb679c6d9fb0,0.28129548
77a7d06086f4db641a88eb2b998ba400e3356fa3,tpami,Group Sampling for Scale Invariant Face Detection,2020,https://www.semanticscholar.org/paper/77a7d06086f4db641a88eb2b998ba400e3356fa3,0.45230332
c2a35fcc598a4f1737ef9e671461bdc0f8319837,tpami,Learning to Augment Poses for 3D Human Pose Estimation in Images and Videos,2023,https://www.semanticscholar.org/paper/c2a35fcc598a4f1737ef9e671461bdc0f8319837,0.22612993
fd1a9721400e6ae80f54c63bdf0516cb2cf59190,tpami,Low-Dimensional Gradient Helps Out-of-Distribution Detection,2023,https://www.semanticscholar.org/paper/fd1a9721400e6ae80f54c63bdf0516cb2cf59190,0.3915776
0cd53dcff34a087803358fd088ed1318f5691fbd,tpami,Uncertainty-Calibrated Test-Time Model Adaptation Without Forgetting,2024,https://www.semanticscholar.org/paper/0cd53dcff34a087803358fd088ed1318f5691fbd,0.23994559
381cb527076a89d652e44f7be93be2d7b2bf2443,tpami,FLAC: Fairness-Aware Representation Learning by Suppressing Attribute-Class Associations,2023,https://www.semanticscholar.org/paper/381cb527076a89d652e44f7be93be2d7b2bf2443,0.27581662
d611041d73c5725de3da4f4aed1b4dc2b8d7b5c7,tpami,"Towards Robust Discriminative Projections Learning via Non-Greedy <inline-formula><tex-math notation=""LaTeX"">$\ell _{2,1}$</tex-math><alternatives><mml:math><mml:msub><mml:mi>ℓ</mml:mi><mml:mrow><mml:mn>2</mml:mn><mml:mo>,</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:msub></mml:math><inline-graphic xl",2019,https://www.semanticscholar.org/paper/d611041d73c5725de3da4f4aed1b4dc2b8d7b5c7,0.27493465
cfe8ca54584dcc151f6327068c8c61b1bf42c500,tpami,Channel Exchanging Networks for Multimodal and Multitask Dense Image Prediction,2021,https://www.semanticscholar.org/paper/cfe8ca54584dcc151f6327068c8c61b1bf42c500,0.37393856
1215a49a50fcb7ca2f2518b246e4b65dd93c5b7f,tpami,Optical Flow in the Dark,2021,https://www.semanticscholar.org/paper/1215a49a50fcb7ca2f2518b246e4b65dd93c5b7f,0.321434
a3070a600e0f3e4c4a37b70593f064157017c83a,tpami,Fourier-Based and Rational Graph Filters for Spectral Processing,2020,https://www.semanticscholar.org/paper/a3070a600e0f3e4c4a37b70593f064157017c83a,0.33168092
2417c2ab87e85eb8a8fdac0edfd70362e7594690,tpami,Gating Revisited: Deep Multi-Layer RNNs That can be Trained,2019,https://www.semanticscholar.org/paper/2417c2ab87e85eb8a8fdac0edfd70362e7594690,0.1297268
70945853b8a0237ee9cd9c90f5a3b49d0a33eeda,tpami,End-to-End Full Projector Compensation,2020,https://www.semanticscholar.org/paper/70945853b8a0237ee9cd9c90f5a3b49d0a33eeda,0.25092837
2cfa03930764ec978325dee12bbd8786b744fb35,tpami,Learning Local and Global Temporal Contexts for Video Semantic Segmentation,2022,https://www.semanticscholar.org/paper/2cfa03930764ec978325dee12bbd8786b744fb35,0.41805345
47e48c7c36d4e5ddc9d737e3ed894092da27b66f,tpami,SEEM: A Sequence Entropy Energy-Based Model for Pedestrian Trajectory All-Then-One Prediction,2022,https://www.semanticscholar.org/paper/47e48c7c36d4e5ddc9d737e3ed894092da27b66f,0.18295941
e1bb80c12bf7cc40c9a3450d5d30e5371826f509,tpami,3D Hand Pose Estimation Using Synthetic Data and Weakly Labeled RGB Images,2020,https://www.semanticscholar.org/paper/e1bb80c12bf7cc40c9a3450d5d30e5371826f509,0.24720713
4ec995fd4117a0f0c7e9d68c38a3b858c95c732c,tpami,Symbolic Visual Reinforcement Learning: A Scalable Framework With Object-Level Abstraction and Differentiable Expression Search,2022,https://www.semanticscholar.org/paper/4ec995fd4117a0f0c7e9d68c38a3b858c95c732c,0.29289645
80aa557a6abd7d30d006ecaceaeeee0444b194bd,tpami,Revisit Weakly Supervised Hashing With Deep Multi-Modal Foundation Models,2025,https://www.semanticscholar.org/paper/80aa557a6abd7d30d006ecaceaeeee0444b194bd,0.4819104
